Real Time,Tracked Time,Worn State,User in VR,Focus Task,XPos,YPos,ZPos,Pitch,Yaw,Roll,WallColor,Game Time,Phase,Color,Color,Trial,Number,Input,Correct,React,Font,Display Time
15:38:11.472,92.314354,Unknown,false,true,36.412 ,-13.907 ,85.688,2.550181 ,9.501681 ,0.873190,X=0.000 Y=0.000 Z=1.000,52.287773,0,PBlue/PBlue,1,45,1,true,1,0.32199,50,15:38:11.150
15:38:12.527,93.369392,Unknown,false,true,36.411 ,-13.894 ,85.695,2.531493 ,9.506859 ,0.880577,X=0.000 Y=0.000 Z=1.000,53.342766,0,PBlue/PBlue,1,46,8,true,1,0.222033,45,15:38:12.305
15:38:13.694,94.535599,Unknown,false,true,36.435 ,-13.902 ,85.703,2.522355 ,9.508102 ,0.874328,X=0.000 Y=0.000 Z=1.000,54.508995,0,PBlue/PBlue,1,47,6,true,1,0.2335,40,15:38:13.460
15:38:14.915,95.757545,Unknown,false,true,36.433 ,-13.898 ,85.712,2.517341 ,9.510983 ,0.886562,X=0.000 Y=0.000 Z=1.000,55.730896,0,PBlue/PBlue,1,48,4,true,1,0.299738,45,15:38:14.616
15:38:16.81,96.923454,Unknown,false,true,36.430 ,-13.897 ,85.710,2.503845 ,9.494873 ,0.872367,X=0.000 Y=0.000 Z=1.000,56.896786,0,PBlue/PBlue,1,49,9,true,1,0.311077,30,15:38:15.770
15:38:17.204,98.04512,Unknown,false,true,36.419 ,-13.907 ,85.695,2.514336 ,9.498424 ,0.877433,X=0.000 Y=0.000 Z=1.000,58.018452,0,PBlue/PBlue,1,50,1,true,1,0.277364,40,15:38:16.926
15:38:18.292,99.133545,Unknown,false,true,36.424 ,-13.910 ,85.688,2.532887 ,9.507318 ,0.878714,X=0.000 Y=0.000 Z=1.000,59.106899,0,PBlue/PBlue,1,51,2,true,1,0.211076,30,15:38:18.81
15:38:19.536,100.377579,Unknown,false,true,36.420 ,-13.909 ,85.687,2.518584 ,9.502893 ,0.893230,X=0.000 Y=0.000 Z=1.000,60.350971,0,PBlue/PBlue,1,52,3,true,0,0.299968,50,15:38:19.236
15:38:20.613,101.454788,Unknown,false,true,36.428 ,-13.900 ,85.688,2.537470 ,9.507944 ,0.876344,X=0.000 Y=0.000 Z=1.000,61.4282,0,PBlue/PBlue,1,53,8,true,1,0.222299,40,15:38:20.391
15:38:21.756,102.598427,Unknown,false,true,36.423 ,-13.912 ,85.692,2.545516 ,9.499331 ,0.870154,X=0.000 Y=0.000 Z=1.000,62.571827,0,PBlue/PBlue,1,54,5,true,1,0.210942,45,15:38:21.545
15:38:22.889,103.731392,Unknown,false,true,36.429 ,-13.895 ,85.702,2.541609 ,9.503178 ,0.878094,X=0.000 Y=0.000 Z=1.000,63.704796,0,PBlue/PBlue,1,55,3,true,0,0.188798,40,15:38:22.700
15:38:24.233,105.075195,Unknown,false,true,36.433 ,-13.899 ,85.695,2.530551 ,9.486216 ,0.872809,X=0.000 Y=0.000 Z=1.000,65.048584,0,PBlue/PBlue,1,56,9,true,1,0.377563,40,15:38:23.855
15:38:25.333,106.174751,Unknown,false,true,36.420 ,-13.900 ,85.693,2.531213 ,9.494282 ,0.881314,X=0.000 Y=0.000 Z=1.000,66.14814,0,PBlue/PBlue,1,57,8,true,1,0.322011,50,15:38:25.11
15:38:26.521,107.362923,Unknown,false,true,36.418 ,-13.904 ,85.691,2.537217 ,9.487187 ,0.874223,X=0.000 Y=0.000 Z=1.000,67.336311,0,PBlue/PBlue,1,58,1,true,1,0.355174,40,15:38:26.166
15:38:27.521,108.362526,Unknown,false,true,36.424 ,-13.899 ,85.707,2.543241 ,9.487189 ,0.871841,X=0.000 Y=0.000 Z=1.000,68.335915,0,PBlue/PBlue,1,59,8,true,1,0.199682,35,15:38:27.321
15:38:28.587,109.428673,Unknown,false,true,36.419 ,-13.908 ,85.691,2.544908 ,9.483799 ,0.880911,X=0.000 Y=0.000 Z=1.000,69.402061,0,PBlue/PBlue,1,60,2,true,1,0.110697,35,15:38:28.477
15:38:29.676,110.517334,Unknown,false,true,36.425 ,-13.912 ,85.695,2.547940 ,9.484157 ,0.892453,X=0.000 Y=0.000 Z=1.000,70.490723,0,PBlue/PBlue,1,61,3,true,0,0.044789,35,15:38:29.631
15:38:31.20,111.861343,Unknown,false,true,36.420 ,-13.913 ,85.700,2.520750 ,9.496579 ,0.886911,X=0.000 Y=0.000 Z=1.000,71.834732,0,PBlue/PBlue,1,62,6,true,1,0.233185,40,15:38:30.786
15:38:32.397,113.238197,Unknown,false,true,36.420 ,-13.909 ,85.689,2.543255 ,9.473116 ,0.876380,X=0.000 Y=0.000 Z=1.000,73.211586,0,PBlue/PBlue,1,63,9,true,1,0.45522,50,15:38:31.941
15:38:33.762,114.604065,Unknown,false,true,36.423 ,-13.905 ,85.684,2.539375 ,9.494072 ,0.874481,X=0.000 Y=0.000 Z=1.000,74.577454,0,PBlue/PBlue,1,64,4,true,1,0.666127,50,15:38:33.96
15:38:34.629,115.470596,Unknown,false,true,36.428 ,-13.892 ,85.698,2.536090 ,9.483924 ,0.876645,X=0.000 Y=0.000 Z=1.000,75.443985,0,PBlue/PBlue,1,65,3,true,0,0.377376,30,15:38:34.252
15:38:35.595,116.436943,Unknown,false,true,36.418 ,-13.906 ,85.689,2.510429 ,9.481195 ,0.890140,X=0.000 Y=0.000 Z=1.000,76.410332,0,PBlue/PBlue,1,66,7,true,1,0.188979,50,15:38:35.406
15:38:37.716,118.558304,Unknown,false,true,36.416 ,-13.904 ,85.708,2.519418 ,9.476046 ,0.896028,X=0.000 Y=0.000 Z=1.000,78.531693,0,PBlue/PBlue,1,67,4,false,0,-1.0,45,15:38:36.561
15:38:37.739,118.580414,Unknown,false,true,36.420 ,-13.902 ,85.708,2.514397 ,9.476171 ,0.893228,X=0.000 Y=0.000 Z=1.000,78.553802,0,PBlue/PBlue,1,68,3,true,0,0.022114,30,15:38:37.716
15:38:39.327,120.168442,Unknown,false,true,36.409 ,-13.896 ,85.684,2.568267 ,9.497113 ,0.888143,X=0.000 Y=0.000 Z=1.000,80.14183,0,PBlue/PBlue,1,69,4,true,1,0.455187,50,15:38:38.871
15:38:40.437,121.279152,Unknown,false,true,36.431 ,-13.913 ,85.704,2.545297 ,9.503161 ,0.877607,X=0.000 Y=0.000 Z=1.000,81.252541,0,PBlue/PBlue,1,70,8,true,1,0.410791,45,15:38:40.26
15:38:41.604,122.445526,Unknown,false,true,36.420 ,-13.900 ,85.699,2.562714 ,9.489668 ,0.891764,X=0.000 Y=0.000 Z=1.000,82.418915,0,PBlue/PBlue,1,71,2,true,1,0.422157,50,15:38:41.181
15:38:42.647,123.489067,Unknown,false,true,36.430 ,-13.906 ,85.705,2.535981 ,9.488064 ,0.867558,X=0.000 Y=0.000 Z=1.000,83.462456,0,PBlue/PBlue,1,72,7,true,1,0.310722,50,15:38:42.336
15:38:43.791,124.632996,Unknown,false,true,36.411 ,-13.902 ,85.684,2.561171 ,9.501377 ,0.878175,X=0.000 Y=0.000 Z=1.000,84.606384,0,PBlue/PBlue,1,73,1,true,1,0.299722,30,15:38:43.491
15:38:45.24,125.865997,Unknown,false,true,36.422 ,-13.899 ,85.705,2.532579 ,9.481722 ,0.882670,X=0.000 Y=0.000 Z=1.000,85.839386,0,PBlue/PBlue,1,74,2,true,1,0.377617,45,15:38:44.646
15:38:45.879,126.721336,Unknown,false,true,36.420 ,-13.902 ,85.686,2.514985 ,9.498272 ,0.882596,X=0.000 Y=0.000 Z=1.000,86.694725,0,PBlue/PBlue,1,75,9,true,1,0.077737,45,15:38:45.802
15:38:46.990,127.831749,Unknown,false,true,36.411 ,-13.919 ,85.692,2.514664 ,9.509792 ,0.895061,X=0.000 Y=0.000 Z=1.000,87.805138,0,PBlue/PBlue,1,76,4,true,1,0.033535,50,15:38:46.956
15:38:48.167,129.008896,Unknown,false,true,36.420 ,-13.900 ,85.703,2.537108 ,9.504561 ,0.906709,X=0.000 Y=0.000 Z=1.000,88.982285,0,PBlue/PBlue,1,77,7,true,1,0.055505,35,15:38:48.111
15:38:49.599,130.441437,Unknown,false,true,36.426 ,-13.925 ,85.697,2.542162 ,9.520694 ,0.876144,X=0.000 Y=0.000 Z=1.000,90.414886,0,PBlue/PBlue,1,78,9,true,1,0.332952,50,15:38:49.266
15:38:51.78,131.919022,Unknown,false,true,36.431 ,-13.924 ,85.691,2.541008 ,9.501334 ,0.869378,X=0.000 Y=0.000 Z=1.000,91.89254,0,PBlue/PBlue,1,79,2,true,1,0.655554,50,15:38:50.421
15:38:52.66,132.907211,Unknown,false,true,36.413 ,-13.906 ,85.697,2.521439 ,9.493335 ,0.879466,X=0.000 Y=0.000 Z=1.000,92.880722,0,PBlue/PBlue,1,80,7,true,1,0.488902,45,15:38:51.577
15:38:53.443,134.284271,Unknown,false,true,36.420 ,-13.899 ,85.710,2.516071 ,9.495588 ,0.882784,X=0.000 Y=0.000 Z=1.000,94.257843,0,PBlue/PBlue,1,81,8,true,1,0.710289,30,15:38:52.732
15:38:55.19,135.86116,Unknown,false,true,36.432 ,-13.891 ,85.701,2.536261 ,9.463785 ,0.874910,X=0.000 Y=0.000 Z=1.000,95.834709,0,PBlue/PBlue,1,82,1,true,1,1.132693,40,15:38:53.887
15:38:56.197,137.038391,Unknown,false,true,36.427 ,-13.903 ,85.693,2.520613 ,9.491004 ,0.886366,X=0.000 Y=0.000 Z=1.000,97.011971,0,PBlue/PBlue,1,83,7,false,0,-1.0,30,15:38:55.42
15:38:56.707,137.54924,Unknown,false,true,36.426 ,-13.919 ,85.683,2.538440 ,9.487297 ,0.885883,X=0.000 Y=0.000 Z=1.000,97.522842,0,PBlue/PBlue,1,84,8,true,1,0.510854,50,15:38:56.197
15:38:57.952,138.793167,Unknown,false,true,36.431 ,-13.909 ,85.703,2.521562 ,9.492470 ,0.885893,X=0.000 Y=0.000 Z=1.000,98.766869,0,PBlue/PBlue,1,85,5,true,1,0.599773,30,15:38:57.351
15:38:59.229,140.07045,Unknown,false,true,36.426 ,-13.900 ,85.699,2.524588 ,9.479765 ,0.889685,X=0.000 Y=0.000 Z=1.000,100.044136,0,PBlue/PBlue,1,86,1,true,1,0.721892,50,15:38:58.507
15:39:0.329,141.170013,Unknown,false,true,36.431 ,-13.921 ,85.691,2.510859 ,9.476009 ,0.874875,X=0.000 Y=0.000 Z=1.000,101.143723,0,PBlue/PBlue,1,87,9,true,1,0.666485,30,15:38:59.662
15:39:1.272,142.113602,Unknown,false,true,36.426 ,-13.909 ,85.707,2.499091 ,9.470457 ,0.887725,X=0.000 Y=0.000 Z=1.000,102.087387,0,PBlue/PBlue,1,88,5,true,1,0.454908,30,15:39:0.818
15:39:2.317,143.158218,Unknown,false,true,36.424 ,-13.891 ,85.699,2.519438 ,9.481751 ,0.899406,X=0.000 Y=0.000 Z=1.000,103.131973,0,PBlue/PBlue,1,89,8,true,1,0.344737,45,15:39:1.972
15:39:3.761,144.601685,Unknown,false,true,36.417 ,-13.908 ,85.685,2.516091 ,9.482989 ,0.887685,X=0.000 Y=0.000 Z=1.000,104.5755,0,PBlue/PBlue,1,90,9,true,1,0.633243,50,15:39:3.127
15:39:4.928,145.768799,Unknown,false,true,36.414 ,-13.907 ,85.683,2.544450 ,9.492019 ,0.891933,X=0.000 Y=0.000 Z=1.000,105.742607,0,PBlue/PBlue,1,91,4,true,1,0.645364,40,15:39:4.282
15:39:5.859,146.700439,Unknown,false,true,36.434 ,-13.898 ,85.697,2.513182 ,9.496360 ,0.886550,X=0.000 Y=0.000 Z=1.000,106.674332,0,PBlue/PBlue,1,92,3,true,0,0.421934,40,15:39:5.437
15:39:6.693,147.533798,Unknown,false,true,36.419 ,-13.912 ,85.684,2.560364 ,9.501107 ,0.865991,X=0.000 Y=0.000 Z=1.000,107.507668,0,PBlue/PBlue,1,93,7,true,1,0.100407,45,15:39:6.592
15:39:8.825,149.665985,Unknown,false,true,36.424 ,-13.897 ,85.697,2.550693 ,9.495237 ,0.884272,X=0.000 Y=0.000 Z=1.000,109.639839,0,PBlue/PBlue,1,94,9,true,1,1.077321,50,15:39:7.748
15:39:9.802,150.643295,Unknown,false,true,36.427 ,-13.910 ,85.699,2.551519 ,9.511783 ,0.864242,X=0.000 Y=0.000 Z=1.000,110.617149,0,PBlue/PBlue,1,95,1,true,1,0.899678,50,15:39:8.902
15:39:10.735,151.576157,Unknown,false,true,36.427 ,-13.890 ,85.702,2.546684 ,9.501800 ,0.882822,X=0.000 Y=0.000 Z=1.000,111.549988,0,PBlue/PBlue,1,96,7,true,1,0.677649,30,15:39:10.57
15:39:11.635,152.475845,Unknown,false,true,36.418 ,-13.912 ,85.697,2.542709 ,9.489549 ,0.888119,X=0.000 Y=0.000 Z=1.000,112.449684,0,PBlue/PBlue,1,97,3,true,0,0.422065,45,15:39:11.212
15:39:12.701,153.542053,Unknown,false,true,36.425 ,-13.906 ,85.689,2.541971 ,9.490090 ,0.886961,X=0.000 Y=0.000 Z=1.000,113.515816,0,PBlue/PBlue,1,98,8,true,1,0.333055,35,15:39:12.368
15:39:13.800,154.641571,Unknown,false,true,36.417 ,-13.896 ,85.701,2.531541 ,9.491437 ,0.889764,X=0.000 Y=0.000 Z=1.000,114.615265,0,PBlue/PBlue,1,99,2,true,1,0.277726,45,15:39:13.522
15:39:14.866,155.707932,Unknown,false,true,36.426 ,-13.907 ,85.698,2.551759 ,9.479195 ,0.888241,X=0.000 Y=0.000 Z=1.000,115.68161,0,PBlue/PBlue,1,100,1,true,1,0.188774,40,15:39:14.678
15:39:15.932,156.773926,Unknown,false,true,36.412 ,-13.905 ,85.690,2.563308 ,9.468914 ,0.873733,X=0.000 Y=0.000 Z=1.000,116.747604,0,PBlue/PBlue,1,101,8,true,1,0.099975,45,15:39:15.832
15:39:18.9,158.850601,Unknown,false,true,36.426 ,-13.909 ,85.697,2.552612 ,9.502484 ,0.877158,X=0.000 Y=0.000 Z=1.000,118.824249,0,PBlue/PBlue,1,102,9,true,1,1.021586,30,15:39:16.987
15:39:19.9,159.850616,Unknown,false,true,36.416 ,-13.908 ,85.693,2.546076 ,9.508936 ,0.856137,X=0.000 Y=0.000 Z=1.000,119.824295,0,PBlue/PBlue,1,103,5,true,1,0.866359,30,15:39:18.142
15:39:19.964,160.805481,Unknown,false,true,36.425 ,-13.903 ,85.705,2.557796 ,9.505548 ,0.864132,X=0.000 Y=0.000 Z=1.000,120.779152,0,PBlue/PBlue,1,104,4,true,1,0.666327,40,15:39:19.297
15:39:20.764,161.605194,Unknown,false,true,36.413 ,-13.918 ,85.699,2.557803 ,9.494215 ,0.880648,X=0.000 Y=0.000 Z=1.000,121.578796,0,PBlue/PBlue,1,105,3,true,0,0.310866,45,15:39:20.453
15:39:21.675,162.515976,Unknown,false,true,36.421 ,-13.902 ,85.701,2.542387 ,9.500133 ,0.865092,X=0.000 Y=0.000 Z=1.000,122.489594,0,PBlue/PBlue,1,106,5,true,1,0.066846,50,15:39:21.608
15:39:23.30,163.870865,Unknown,false,true,36.417 ,-13.911 ,85.696,2.528795 ,9.480840 ,0.870948,X=0.000 Y=0.000 Z=1.000,123.844513,0,PBlue/PBlue,1,107,4,true,1,0.266654,40,15:39:22.763
15:39:24.207,165.048416,Unknown,false,true,36.414 ,-13.898 ,85.709,2.531487 ,9.470420 ,0.891130,X=0.000 Y=0.000 Z=1.000,125.022133,0,PBlue/PBlue,1,108,3,true,0,0.288779,35,15:39:23.918
15:39:25.961,166.802795,Unknown,false,true,36.419 ,-13.903 ,85.690,2.552237 ,9.476762 ,0.882953,X=0.000 Y=0.000 Z=1.000,126.776466,0,PBlue/PBlue,1,109,6,true,1,0.888466,45,15:39:25.73
15:39:27.61,167.902588,Unknown,false,true,36.417 ,-13.908 ,85.704,2.542763 ,9.477225 ,0.872942,X=0.000 Y=0.000 Z=1.000,127.876228,0,PBlue/PBlue,1,110,5,true,1,0.833314,35,15:39:26.228
15:39:28.538,169.379608,Unknown,false,true,36.414 ,-13.914 ,85.697,2.525032 ,9.487019 ,0.871256,X=0.000 Y=0.000 Z=1.000,129.353271,0,PBlue/PBlue,1,111,7,false,0,-1.0,30,15:39:27.383
15:39:28.727,169.568573,Unknown,false,true,36.419 ,-13.905 ,85.713,2.516590 ,9.486921 ,0.881623,X=0.000 Y=0.000 Z=1.000,129.542236,0,PBlue/PBlue,1,112,5,true,1,0.188969,50,15:39:28.538
